index,ID,SMILES,InChIKey,Solubility,split,logp
43,A-1060,Cc1cc(C)c(N)c(c1)[S](O)(=O)=O,CFCXQQUQLZIZPI-UHFFFAOYSA-N,-1.8195435039,1,1.1323400000000001
44,A-1062,s1cccc1,YTPLMLYBLZKORZ-UHFFFAOYSA-N,-1.4450110492,1,1.7481
45,A-1065,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2,IISBACLAFKSPIT-UHFFFAOYSA-N,-2.8799222949,1,3.423700000000002
46,A-1066,ClC(Cl)(Cl)C=O,HFFLGKNGCAIQMO-UHFFFAOYSA-N,-0.691340871,1,1.5554999999999999
47,A-1067,CCC(C)CO,QPRQEDXDYOZYLA-UHFFFAOYSA-N,-0.4681010619,1,1.0248
48,A-1068,CC(C)CCO,PHTQWCKDNZKARW-UHFFFAOYSA-N,-0.4681010619,1,1.0248
50,A-1070,s1cnc2ccccc12,IOJUPLGTWVMSFF-UHFFFAOYSA-N,-1.6538265258,1,2.2963000000000005
51,A-1073,OC(=O)c1cccc(c1)[N+]([O-])=O,AFPHTEQTJZKQAQ-UHFFFAOYSA-N,-1.7459071723,1,1.293
52,A-1074,O=[Mo]=O,QXYJCZRRLLQGCR-UHFFFAOYSA-N,-3.7396436363,1,-0.2401
53,A-1076,O=C1Nc2ccccc2C(=O)O1,TXJUTRJFNRYTHH-UHFFFAOYSA-N,-2.735417906,1,0.4813
54,A-1077,OC(c1ccccc1)C(=O)c2ccccc2,ISAOCJYIOMOJEB-UHFFFAOYSA-N,-2.8497223519,1,2.602900000000001
55,A-1080,CCCCCCCCO,KBPLFHHGFOOTCA-UHFFFAOYSA-N,-2.6375931207,1,2.3392000000000013
56,A-1082,O=[Te]=O,LAJZODKXOMJMPK-UHFFFAOYSA-N,-3.7156062333,1,-0.6184000000000001
57,A-1085,COC(=O)COc1nc(F)c(Cl)c(N)c1Cl,GIIKFBXVGYJLEK-UHFFFAOYSA-N,-3.9512810281,1,1.6615
58,A-1088,CC(C)=CCCC(C)(OC(C)=O)C=C,UWKAYLJWKGQEPM-UHFFFAOYSA-N,-3.8157769203,1,3.2406000000000024
59,A-109,[Ca++].[O-][Si]([O-])=O,OYACROKNLOSFPA-UHFFFAOYSA-N,-2.6500869941,1,-3.2584
60,A-1091,CC(C)(C)c1cccc(c1O)C(C)(C)C,DKCPKDPYUFEZCP-UHFFFAOYSA-N,-4.7135873776,1,3.987200000000003
62,A-1093,[Ce+3].[Ce+3].[O-]C([O-])=O.[O-]C([O-])=O.[O-]C([O-])=O,GHLITDDQOMIBFS-UHFFFAOYSA-H,-5.0664023631,1,-7.341000000000001
63,A-1094,CCCCC(CC)COC(C)=O,WOYWLLHHWAMFCB-UHFFFAOYSA-N,-4.6451400046,1,2.765900000000001
64,A-1095,CCCCCCCCC(C)C#N,XPCSGXMQGQGBKU-UHFFFAOYSA-N,-4.6324209502,1,3.8966800000000035
65,A-1096,CCN1C(=O)C(=N/Nc2ccc(Cl)cc2[N+]([O-])=O)/C(=C(C#N)C1=O)C,PJLZYPHMHUHUMN-CPNJWEJPSA-N,-4.96733793,1,2.24488
66,A-1097,CC(C)CCCC=C,DFVOXRAAHOJJBN-UHFFFAOYSA-N,-4.458990177,1,2.9987000000000013
67,A-1098,ClCCc1cc2CC(=O)Nc2cc1Cl,ZTQQXEPZEYIVDK-UHFFFAOYSA-N,-4.7775740697,1,2.615900000000001
68,A-1099,CCCCOCCOC(=O)CCCCC(=O)OCCOCCCC,IHTSDBYPAZEUOP-UHFFFAOYSA-N,-4.9587331394,1,3.2666000000000013
69,A-11,CCC1CCC(CCC(O)=O)C1,WVRFSLWCFASCIS-UHFFFAOYSA-N,-3.286116314,1,2.6775
70,A-1100,CC(c1ccccc1)c2ccccc2,BSZXAFXFTLXUFV-UHFFFAOYSA-N,-4.6925039386,1,3.8384000000000027
71,A-1101,Cc1ccccc1Cc2ccccc2,PQTAUFTUHHRKSS-UHFFFAOYSA-N,-4.6925039386,1,3.585820000000002
72,A-1104,[Nd+3].[Nd+3].[O-]C([O-])=O.[O-]C([O-])=O.[O-]C([O-])=O,UTWHRPIUNFLOBE-UHFFFAOYSA-H,-5.1084204387,1,-7.341000000000001
73,A-1105,CC(=O)O[C@@]1(CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]12C)C(C)=O,MTSLFKWJINJVBO-ZCPXKWAGSA-N,-4.9957539374,1,4.0191000000000034
74,A-1106,OC(=O)c1cc(Nc2ccccc2)c(cc1Nc3ccccc3)C(O)=O,ZJQZWNLKRBUEKX-UHFFFAOYSA-N,-4.9857232877,1,4.5702000000000025
75,A-1107,O=C(OCc1ccccc1)/C=C/c2ccccc2,NGHOLYJTSCBCGC-VAWYXSNFSA-N,-4.8207960263,1,3.443200000000002
76,A-111,CCc1ccc(C)nc1,NTSLROIKFLNUIJ-UHFFFAOYSA-N,-1.0042604536,1,1.9524199999999998
77,A-1110,O=C1N=C(NC(=N1)c2ccccc2)c3ccccc3,KODLDJGSBFMSDG-UHFFFAOYSA-N,-5.4935852535,1,2.498900000000001
78,A-1111,[O--].[O--].[O--].[Gd+3].[Gd+3],CMIHHWBVHJVIGI-UHFFFAOYSA-N,-5.0152363724,1,-0.3564
79,A-1112,CC(C)C(=O)OC(C)(CCC=C(C)C)C=C,JZIARAQCPRDGAC-UHFFFAOYSA-N,-4.8105849842,1,3.876700000000003
80,A-1113,Cc1cc(C)c(c(C)c1)C(=O)[P](=O)(c2ccccc2)c3ccccc3,VFHVQBAGLAREND-UHFFFAOYSA-N,-5.010576791,1,4.766160000000004
81,A-1114,CCCCC(CC)C(=O)OCC(C)(C)COC(=O)C(CC)CCCC,GORMSINSWZJIKL-UHFFFAOYSA-N,-5.0206378696,1,5.531800000000006
82,A-1115,[O--].[O--].[O--].[O--].[O--].[Ti+4].[Zr+4].[Pb++],HFGPZNIAWCZYJU-UHFFFAOYSA-N,-5.0982221528,1,-0.9797999999999999
83,A-1116,CCOC(=O)C1C(C=C(C)C)C1(C)C,VIMXTGUGWLAOFZ-UHFFFAOYSA-N,-4.7652682741,1,2.7879000000000014
84,A-1119,NC(=O)c1ccc(NC(=O)c2ccc(cc2)[N+]([O-])=O)cc1,FANLHXKNWWSLIG-UHFFFAOYSA-N,-4.9367254155,1,1.9459999999999997
85,A-1120,CC(=O)c1cc(cc2c1CCC2(C)C)C(C)(C)C,IKTHMQYJOWTSJO-UHFFFAOYSA-N,-4.8708662082,1,4.410500000000004
86,A-1121,COc1cc(N[S](=O)(=O)c2ccc(C)cc2)c3C(=O)c4ccccc4C(=O)c3c1N,BXIGAWRFDMDLTL-UHFFFAOYSA-N,-5.1125700507,1,3.162020000000001
87,A-1122,[H+].[Mn++].Cc1cc(c(cc1Cl)N=Nc2c([O-])c(cc3ccccc23)C([O-])=O)[S]([O-])(=O)=O,FXKOYCHIRMCIOR-UHFFFAOYSA-L,-5.1704010781,1,2.6682200000000025
88,A-1123,Cc1ccc(Nc2cc(C(O)=O)c(Nc3ccc(C)cc3)cc2C(O)=O)cc1,FVLUGNOOEZYDNV-UHFFFAOYSA-N,-5.0705134819,1,5.187040000000003
89,A-1125,COc1cc(NC(=O)c2cc3ccccc3cc2O)c(OC)cc1Cl,QIHKTBRNOLQDGQ-UHFFFAOYSA-N,-5.0622701458,1,4.468300000000003
90,A-1126,CCCCC(CC)COC(=O)C(C)=C,WDQMWEYDKDCEHT-UHFFFAOYSA-N,-4.8059741607,1,3.3221000000000016
91,A-1127,CCCCC(CC)CCl,WLVCBAMXYMWGLJ-UHFFFAOYSA-N,-4.6808820955,1,3.441600000000002
92,A-1128,NC(=O)c1ccc(NC(=O)c2ccc(N)cc2)cc1,FSPYMSUDIVFOHY-UHFFFAOYSA-N,-4.9156499936,1,1.6199999999999999
93,A-1129,C.CCCCCCCCCCCCO,WWYHAQDAMPXWSI-UHFFFAOYSA-N,-4.8148101896,1,4.535700000000005
94,A-113,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OC(=O)[C@H](C)O,UJNOLBSYLSYIBM-NOOOWODRSA-N,-2.9799872046,1,2.3712000000000004
95,A-1132,C=CC(=O)OCCCCCCCCCCOC(=O)C=C,RHNJVKIVSXGYBD-UHFFFAOYSA-N,-4.9608754545,1,3.5656000000000025
96,A-1133,C[C@H]1CC(=O)C[C@@H]2CC[C@H]3[C@@H]4CC[C@H](O)[C@@]4(C)CC[C@@H]3[C@@]12C,UXYRZJKIQKRJCF-TZPFWLJSSA-N,-5.0064289581,1,4.205100000000003
97,A-1134,CC1(C)CC2(CC(C)(C)N1)OC3(CCCCCCCCCCC3)NC2=O,IVVLFHBYPHTMJU-UHFFFAOYSA-N,-5.0846644385,1,4.813200000000005
98,A-1135,CCC(C)(C)c1ccc(O)c(c1)C(C)(C)CC,WMVJWKURWRGJCI-UHFFFAOYSA-N,-4.892804854,1,4.767400000000005
100,A-1139,ClC(=O)OCCOCCOC(Cl)=O,XFSAZBKSWGOXRH-UHFFFAOYSA-N,-4.8865490032,1,1.7538
101,A-114,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO,OIGNJSKKLXVSLS-VWUMJDOOSA-N,-3.1784471289,1,1.5575999999999999
102,A-1140,[Lu+3].[Lu+3].[O-]C(=O)C([O-])=O.[O-]C(=O)C([O-])=O.[O-]C(=O)C([O-])=O,WBXXVIQNIMIONY-UHFFFAOYSA-H,-5.3110386285,1,-10.5414
103,A-1141,OCc1cccc(Oc2ccccc2)c1,KGANAERDZBAECK-UHFFFAOYSA-N,-2.8258731416,1,2.9712000000000005
104,A-1143,O=C1CCCCCCCCCCCN1,JHWNWJKBPDFINM-UHFFFAOYSA-N,-2.8195043204,1,3.0172000000000008
105,A-1144,COC(=O)\C=C\c1ccccc1,CCRCUPLGCSFEDV-BQYQJAHWSA-N,-2.7343475301,1,1.8728
106,A-1145,CSc1cc(SC)c(N)c(C)c1N,TXDBDYPHJXUHEO-UHFFFAOYSA-N,-2.8569254583,1,2.6032200000000003
107,A-1148,COc1ccc(\C=C\C)cc1OC,NNWHUJCUHAELCL-SNAWJCMRSA-N,-2.7782267945,1,2.736900000000001
108,A-1149,Cc1ccc2cccc(O)c2n1,NBYLBWHHTUWMER-UHFFFAOYSA-N,-1.7306186153,1,2.2488200000000007
110,A-1152,[Co++].CCC1CCC(CCC([O-])=O)C1.CCC2CCC(CCC([O-])=O)C2,XSWKLHINRKWMTD-UHFFFAOYSA-L,-3.1323831914,1,2.6831000000000005
111,A-1153,CC(C)(COCCCOC(=O)C=C)COCCCOC(=O)C=C,NQGDHQASSFDDLD-UHFFFAOYSA-N,-3.0495421403,1,2.2844000000000007
112,A-1154,CCCCCOC=O,DIQMPQMYFZXDAX-UHFFFAOYSA-N,-1.6020599913,1,1.3496
113,A-1155,COC(=O)c1cccc(c1)C(=O)OC,VNGOYPQMJFJDLV-UHFFFAOYSA-N,-2.825819918,1,1.2597999999999998
114,A-1156,C=Cc1ccccc1,PPBRXRYQALVLMV-UHFFFAOYSA-N,-2.5552696161,1,2.3296
115,A-1157,CCCCCCOC(=O)C(C)=C,LNCPIMCVTKXXOY-UHFFFAOYSA-N,-3.7554210341,1,2.686000000000001
116,A-1158,Clc1cc(Cl)c(Cl)nc1Cl,FATBKZJZAHWCSL-UHFFFAOYSA-N,-3.8614246907,1,3.6952
117,A-116,[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[Al+3].[Al+3].[Mo].[Mo],CTVFHFFURJHNAT-UHFFFAOYSA-N,-4.2291529922,1,-1.8357999999999999
118,A-1160,Nc1scc(n1)c2ccc3ccccc3c2,GWDNDNTTXIIXRS-UHFFFAOYSA-N,-4.849542252,1,3.5455000000000014
119,A-1161,CCCCCC(CO)Cc1ccccc1,CGMOOAUESLSUKM-UHFFFAOYSA-N,-3.8432685623,1,3.417900000000002
120,A-1163,CCCCCCCCCC=O,KSMVZQYAVGTKIV-UHFFFAOYSA-N,-3.7255255026,1,3.3260000000000023
121,A-1165,CC(=O)OC/C=C(C)/CCC=C(C)C,HIGQPQRQIQDZMP-DHZHZOJOSA-N,-3.8305001771,1,3.242200000000002
122,A-1167,CC(CC/C=C(C)/CCC=O)C=C,QVEOSYKPYFNQAZ-XYOKQWHBSA-N,-3.7935760497,1,3.5141000000000027
123,A-1168,COC(=O)C(F)(F)F,VMVNZNXAVJHNDJ-UHFFFAOYSA-N,-0.6479837034,1,0.7216999999999999
124,A-117,CC(=C)C(=O)OCCOc1ccccc1,CEXQWAAGPPNOQF-UHFFFAOYSA-N,-2.9526471698,1,2.1847000000000003
125,A-1170,CCOc1cc(C=O)ccc1O,CBOQJANXLMLOSS-UHFFFAOYSA-N,-1.7642022678,1,1.6034
126,A-1172,CC(=O)CCc1ccccc1,AKGGYBADQZYZPD-UHFFFAOYSA-N,-1.7160179957,1,2.2081999999999997
127,A-1173,COc1cc(NC(=O)CC(C)=O)c(OC)cc1Cl,MOUVJGIRLPZEES-UHFFFAOYSA-N,-2.9792447784,1,2.2748
128,A-1174,CC(=O)OC\C=C\c1ccccc1,WJSDHUCWMSHDCR-VMPITWQZSA-N,-2.7927245342,1,2.2629
131,A-118,CCCCOCCOCCOCc1cc2OCOc2cc1CCC,FIPWRIJSWJWJAI-UHFFFAOYSA-N,-4.1510889183,1,3.7177000000000024
132,A-1181,CCC(C)CCCC(C)(C)O,WRFXXJKURVTLSY-UHFFFAOYSA-N,-2.7493446847,1,2.9737000000000022
133,A-1182,[Na+].ClN1C(=O)[N-]C(=O)N(Cl)C1=O,MSFGZHUJTJBYFA-UHFFFAOYSA-M,-0.8951600114,1,-4.6648000000000005
134,A-1185,Nc1cc(ccc1O)[S](O)(=O)=O,ULUIMLJNTCECJU-UHFFFAOYSA-N,-1.8297447369,1,0.22109999999999996
135,A-1186,C[C@]12CCC(=O)C=C1CC[C@H]3[C@@H]4CC[C@](O)(C(=O)CO)[C@@]4(C)C[C@H](O)[C@H]23,JYGXADMDTFJGBT-VWUMJDOOSA-N,-3.1121092438,1,1.7815999999999999
136,A-1188,CCCCCCCC/C=C/CCCCCCCC(O)=O.NCCO,KGWDUNBJIMUFAP-RRABGKBLSA-N,-3.0888344498,1,5.045900000000004
137,A-119,CF,NBVXSUQYWXRMNV-UHFFFAOYSA-N,-0.1758743765,1,0.5857
138,A-1193,CC(CO)CCC1CC=C(C)C1(C)C,CYVGAJHMMVDTDZ-UHFFFAOYSA-N,-3.8427464064,1,3.387400000000002
139,A-1196,CCCCCCCCCCCC(=O)N(C)C,BDYUSDIJIDGWCY-UHFFFAOYSA-N,-3.9093070505,1,3.9955000000000034
140,A-1197,CC(C)(C)C1CCC(O)CC1,CCOQPGVQAWPUPE-UHFFFAOYSA-N,-3.1032621252,1,2.5836000000000006
141,A-1199,CCCCCCCCCCCCCCN(C)C,SFBHPFQSSDCYSL-UHFFFAOYSA-N,-3.9356925608,1,5.249100000000005
142,A-12,CC12CC(O)C3C(CCC4=CC(=O)C=CC34C)C1CC(O)C2(O)C(=O)CO,SEKYBDYVXDAYPY-UHFFFAOYSA-N,-2.6645485391,1,0.5283999999999995
143,A-1203,CCCCl,SNMVRZFUUCLYTO-UHFFFAOYSA-N,-1.4534068203,1,1.6352
144,A-1204,[Zn++].CC(C)CC(C)O[P]([S-])(=S)OC(C)C.CC(C)CC(C)O[P]([S-])(=S)OC(C)C,ZLJYMIJYVMPKAH-UHFFFAOYSA-L,-2.3189749133,1,7.265500000000007
145,A-1205,[O-][N+](=O)c1cccc(Cl)c1,KMAQZIILEGKYQZ-UHFFFAOYSA-N,-2.7612722995,1,2.2482000000000006
146,A-1206,CC(=O)c1ccc2ccccc2c1,XSAYZAUNJMRRIR-UHFFFAOYSA-N,-2.7964187192,1,3.0424000000000015
148,A-1209,CC(Cl)CCl,KNKRKFALVUDBJE-UHFFFAOYSA-N,-1.6216647134,1,1.8525
149,A-1211,CCNc1ccccc1,OJGMBLNIHDZDGS-UHFFFAOYSA-N,-1.6520779355,1,2.1184
150,A-1212,CC(C)CCOCCC(C)C,AQZGPSLYZOOYQP-UHFFFAOYSA-N,-3.7601070667,1,3.095200000000002
152,A-1214,Cc1ccc(Cl)c(Cl)c1,WYUIWKFIFOJVKW-UHFFFAOYSA-N,-3.7755457257,1,3.301820000000001
153,A-1215,COc1cc(c(OC)cc1N)[S](=O)(=O)Nc2ccccc2,NFYQAEPHDGXJSY-UHFFFAOYSA-N,-4.0576928644,1,2.0868
154,A-1219,CC(=O)CC(c1ccccc1)C2=C(O)Oc3ccccc3C2=O,QTXVAVXCBMYBJW-UHFFFAOYSA-N,-3.0625087471,1,3.609600000000002
155,A-122,C(COc1ccccc1)Oc2ccccc2,XCSGHNKDXGYELG-UHFFFAOYSA-N,-3.9885265275,1,3.144400000000002
156,A-1220,[H+].[Cl-].CC1=CC(C=CC1=N)=C(c2ccc(N)cc2)c3ccc(N)cc3,AXDJCCTWPBKUKL-UHFFFAOYSA-N,-2.1054831912,1,1.3052699999999988
157,A-1222,CC(C)CO[P](=O)(OCC(C)C)OCC(C)C,HRKAMJBPFPHCSD-UHFFFAOYSA-N,-3.0021546468,1,4.112300000000004
158,A-1225,COC(=O)c1ccccc1C,WVWZECQNFWFVFW-UHFFFAOYSA-N,-1.7566476759,1,1.78162
159,A-1226,CC(C)=C,VQTUBCCKSQIDNK-UHFFFAOYSA-N,-2.3290690398,1,1.5824
160,A-1227,CC(=O)OC[C@@H](OC(C)=O)C=C,MWWXARALRVYLAE-QMMMGPOBSA-N,-0.8176814122,1,0.6672
161,A-1228,Nc1cccc(O)c1,CWLKGDAVCFYWJK-UHFFFAOYSA-N,-0.6229628479,1,0.9743999999999999
162,A-123,CCc1cc(Cc2cc(CC)c(N)c(CC)c2Cl)c(Cl)c(CC)c1N,VIOMIGLBMQVNLY-UHFFFAOYSA-N,-7.2780387128,1,5.998200000000005
164,A-1232,CCCCCCCC/C=C/CCCCCCCC(=O)NCCCN(C)C,UCWYGNTYSWIDSW-VAWYXSNFSA-N,-4.1492593891,1,6.091800000000006
165,A-1233,Cc1c(Cl)cccc1Cl,DMEDNTFWIHCBRK-UHFFFAOYSA-N,-3.7919361419,1,3.301820000000001
166,A-1234,O=C1CCCCCCCCCCC1,SXVPOSFURRDKBO-UHFFFAOYSA-N,-3.8458299965,1,3.8602000000000034
167,A-1235,CC(C)=CCCC(C)(O)C#C,YWTIDNZYLFTNQQ-UHFFFAOYSA-N,-1.7720804309,1,2.117
168,A-1236,Cc1ccc(cc1[N+]([O-])=O)C(O)=O,BBEWSMNRCUXQRF-UHFFFAOYSA-N,-2.8480980227,1,1.60142
169,A-1237,COc1ccc(cc1N)[S](O)(=O)=O,FLIOATBXVNLPLK-UHFFFAOYSA-N,-0.8997243446,1,0.5241
170,A-1239,Oc1ccc(cc1O)C(=O)c2ccccc2,ARWCZKJISXFBGI-UHFFFAOYSA-N,-2.9226200497,1,2.3288
172,A-1240,CCN(CCO)c1ccc(cc1)N=Nc2sc3cc(OC)ccc3[n+]2C.CC([O-])=O,BLZWSNCCDXVOPZ-UHFFFAOYSA-M,-0.2262726911,1,2.7246000000000015
173,A-1243,CCCC1C[C@](C)(CCO1)OC(C)=O.CCCC2C[C@@](C)(CCO2)OC(C)=O,TWUVPRFPARHRLV-URIZOGIISA-N,-2.2047232328,1,4.574600000000005
174,A-1245,CCCCC(CC)CN,LTHNHFOGQMKPOV-UHFFFAOYSA-N,-1.7134804626,1,2.1615
175,A-1246,Cc1ccc(N)cc1Cl,RQKFYFNZSHWXAW-UHFFFAOYSA-N,-1.7531263117,1,2.23062
176,A-1247,Oc1ccc(c(O)c1)C2=C(O)C(=O)c3c(O)cc(O)cc3O2,YXOLAZRVSSWPPT-UHFFFAOYSA-N,-3.0824090581,1,1.9879999999999998
177,A-125,CCCC(CCC)C(O)=O,NIJJYAXOARWZEE-UHFFFAOYSA-N,-1.8579774272,1,2.2874
178,A-1252,CC(c1ccc(O)cc1)(c2ccc(O)cc2)c3ccc(O)cc3,BRPSWMCDEYMRPE-UHFFFAOYSA-N,-4.086559757,1,4.157700000000002
179,A-1254,Cc1ccc(Cl)cc1Cl,FUNUTBJJKQIVSY-UHFFFAOYSA-N,-3.8089694812,1,3.301820000000001
180,A-1255,COC1OC(CO[S](=O)(=O)c2ccc(C)cc2)C3OC(C)(C)OC13,IAPMZKRZMYQZSW-UHFFFAOYSA-N,-4.1564425332,1,1.59172
181,A-1256,COc1ccccc1C,DTFKRVXLBCAIOZ-UHFFFAOYSA-N,-2.6890833932,1,2.0036199999999997
182,A-1258,OC(=O)Cc1ccc(Cl)cc1Cl,GXMWLJKTGBZMBH-UHFFFAOYSA-N,-2.9191416399,1,2.6205000000000007
183,A-1259,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.ClCC3CO3,KUBDPQJOLOUJRM-UHFFFAOYSA-N,-5.0291347649,1,4.0477000000000025
184,A-1261,[Zr+4].CCC([O-])=O,TVCBSVKTTHLKQC-UHFFFAOYSA-M,-2.8232791914,1,-0.8562000000000001
185,A-1263,Clc1ccc(cc1)C#N,GJNGXPDXRVXSEH-UHFFFAOYSA-N,-2.749354496,1,2.2116799999999994
